dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	138522	192953	138503	192934
1.0	204689	284208	168183	234348
1.0	77393	109781	30635	43648
1.0	59549	84712	59499	84638
1.0	84231	119118	83972	118850
1.0	84231	119118	83973	118851
0.9230769230769231	199045	276561	198914	276430
1.0	86620	122250	7260	10784
1.0	84231	119118	83971	118849
1.0	86620	122250	7251	10767
1.0	186465	259131	89982	126603
1.0	179533	249416	179391	249271
1.0	203968	283142	203940	283113
1.0	156715	218680	47318	67727
1.0	138522	192953	138518	192949
1.0	216266	300805	90195	126831
1.0	27354	38769	26638	37808
1.0	216266	300805	90196	126832
1.0	216266	300805	90197	126834
1.0	229754	318045	92595	129731
1.0	230590	319250	127141	177406
1.0	84231	119118	83985	118864
0.9076923076923077	98960	138314	89543	126064
1.0	249034	345875	95036	132718
1.0	189015	262511	69873	98532
1.0	92491	129627	79265	112681
1.0	203968	283142	203957	283130
1.0	211673	294092	58514	83302
1.0	26807	37980	26590	37760
0.8974358974358975	240351	333495	235074	326385
1.0	240718	334141	51296	72912
1.0	107324	149990	30613	43596
1.0	160969	224490	82738	117289
1.0	249673	346685	172594	240438
0.9846153846153847	122716	171231	77376	109762
1.0	171909	239553	55223	78644
1.0	249978	347116	83948	118822
1.0	118259	164891	118065	164676
1.0	167520	233353	167485	233316
0.9538461538461539	95290	133077	3850	5750
0.9641025641025641	204964	284522	7330	11022
1.0	247141	342965	247137	342961
1.0	87996	124208	87933	124138
1.0	32111	45735	32032	45653
1.0	199754	277434	171028	238301
1.0	92441	129577	35478	50878
0.9384615384615385	32091	45714	28445	40393
1.0	171909	239553	69873	98532
1.0	230664	319327	127146	177411
1.0	234355	325042	113070	157832
1.0	86620	122250	7291	10882
1.0	238927	331521	112641	157076
1.0	165454	230549	165391	230483
1.0	211492	293790	211490	293788
1.0	209467	290806	69874	98533
1.0	240204	333247	236029	327881
0.9743589743589743	201684	280120	139284	194106
1.0	136279	190087	136151	189936
1.0	138004	192374	137927	192297
0.9641025641025641	144706	201754	40440	57699
1.0	84231	119118	83959	118837
1.0	60330	85877	60288	85835
1.0	122056	170250	122053	170245
1.0	35204	50299	35132	50227
1.0	114019	159254	113955	159190
1.0	84231	119118	83961	118839
1.0	238280	330622	238170	330502
1.0	84231	119118	83960	118838
1.0	113364	158244	12857	18539
1.0	164935	229798	164872	229733
1.0	139236	193943	139221	193928
1.0	84231	119118	83969	118847
1.0	135421	188808	135360	188736
1.0	93838	131189	93805	131153
1.0	84231	119118	83967	118845
1.0	84231	119118	83968	118846
1.0	84231	119118	83965	118843
1.0	84231	119118	83964	118842
1.0	14130	20304	14129	20303
1.0	45911	65506	45908	65503
1.0	222834	309322	38044	54503
1.0	83722	118569	83676	118523
0.9435897435897436	227014	314626	67822	95853
1.0	59480	84614	59416	84543
1.0	88579	124904	88551	124863
1.0	202913	281749	89264	125669
0.9487179487179487	191363	266067	10644	15426
1.0	190216	264159	113065	157819
1.0	139277	194071	107293	149890
0.9282051282051282	177188	246587	177176	246573
1.0	178842	248542	178536	248236
1.0	207949	288668	143544	200185
1.0	113331	158209	62343	88610
1.0	96184	134249	24511	34937
1.0	114282	159531	14621	21123
0.8923076923076924	235512	327038	74171	105454
1.0	234975	326286	16309	23554
1.0	109352	152570	109256	152471
1.0	227097	314714	171916	239560
1.0	71917	101910	71891	101871
1.0	66117	93543	9629	14089
1.0	20953	30082	20947	30076
0.9641025641025641	215621	299895	192180	267231
1.0	67713	95744	46879	67073
0.8974358974358975	86651	122350	56806	81018
1.0	123220	172000	110661	154553
0.9384615384615385	224962	312086	4793	7172
1.0	88579	124904	88572	124893
1.0	56838	81054	56813	81025
1.0	144780	201831	144699	201743
1.0	207349	287894	73534	104637
1.0	87146	123119	43065	61497
1.0	147276	205211	18846	27300
1.0	124138	173165	64466	91347
0.9384615384615385	247934	344128	136380	190224
1.0	219062	304392	219055	304385
1.0	22479	32346	3374	5038
1.0	146190	203776	146184	203770
1.0	210720	292582	206405	286434
1.0	136232	190027	96575	134714
1.0	68787	97079	44492	63568
1.0	50371	71773	9492	13936
0.9948717948717949	123552	172368	123548	172364
1.0	59707	84987	12256	17765
1.0	186748	259447	28364	40312
1.0	37387	53690	37346	53649
1.0	74750	106359	74744	106353
1.0	74750	106359	74745	106354
1.0	188952	262448	139245	193981
1.0	74921	106624	61965	88164
1.0	56838	81054	56834	81050
1.0	165081	230032	21104	30374
1.0	101598	142057	46032	65695
1.0	193685	269214	7308	10931
1.0	46866	67058	46568	66750
1.0	173024	240989	173020	240985
1.0	105997	148130	105984	148114
0.9435897435897436	174420	243057	100121	139883
1.0	180951	251402	112680	157176
1.0	132241	184449	132205	184412
0.8923076923076924	174650	243365	83948	118822
1.0	84002	118881	83959	118837
1.0	49347	70329	49273	70253
1.0	174652	243367	141870	197947
1.0	220897	306962	146389	204074
0.9128205128205128	62380	88648	8969	13123
1.0	228089	315913	92874	130010
0.9333333333333333	226791	314329	123035	171809
1.0	130552	182174	130539	182161
1.0	120471	168039	28611	40638
0.9128205128205128	214245	297863	199821	277502
1.0	170918	238188	170798	238066
1.0	230659	319322	127140	177405
1.0	84866	120156	84835	120125
1.0	66107	93528	7266	10801
1.0	35411	50623	7317	10955
1.0	165391	230483	119488	166639
1.0	230083	318545	92325	129461
1.0	189015	262511	55223	78644
0.9897435897435898	118241	164869	118154	164775
0.9897435897435898	59585	84761	59579	84754
1.0	74750	106359	74738	106347
1.0	198436	275810	165119	230070
1.0	243943	338646	211317	293511
1.0	101828	142389	101806	142355
1.0	200923	279257	200741	279068
1.0	74714	106321	74623	106221
1.0	177934	247384	72672	103200
0.9846153846153847	110587	154450	110564	154427
1.0	120679	168403	26622	37792
1.0	41311	58769	41274	58731
1.0	244882	339943	244858	339916
1.0	62334	88580	62324	88560
1.0	244882	339943	244852	339910
1.0	40437	57646	4716	7088
1.0	145871	203250	145763	203116
0.9487179487179487	221132	307206	178932	248642
1.0	67713	95744	46822	67009
1.0	241915	335914	241178	334914
0.9128205128205128	193514	269036	122713	171228
0.9128205128205128	171960	239605	127963	178600
1.0	171690	239286	96591	134735
0.9641025641025641	240163	333190	222392	308777
1.0	173823	242312	141303	197184
1.0	129582	180890	129521	180812
0.9487179487179487	221132	307206	178927	248637
1.0	167689	233638	66639	94278
1.0	161184	224742	119488	166639
1.0	96586	134726	35395	50594
1.0	106167	148389	106111	148309
0.9487179487179487	27567	39184	27563	39180
1.0	188952	262448	139268	194042
1.0	56839	81055	56740	80952
1.0	184164	256307	13553	19545
1.0	59662	84929	52290	74401
1.0	94772	132436	94763	132426
1.0	214177	297675	178949	248663
1.0	235833	327626	230294	318811
1.0	62335	88581	62189	88409
1.0	129714	181114	104122	145619
1.0	104584	146265	86283	121810
1.0	235336	326718	130072	181504
0.9435897435897436	152306	212309	45585	65066
1.0	217503	302293	217431	302218
1.0	50618	72028	50255	71650
0.9333333333333333	126532	176346	126403	176199
1.0	59481	84615	59380	84503
1.0	217119	301905	26494	37664
1.0	222488	308897	189893	263734
1.0	161440	225013	17113	24760
1.0	203950	283123	203934	283107
1.0	145868	203246	107292	149889
1.0	8531	12596	8528	12593
1.0	164854	229690	72021	102301
0.8974358974358975	236509	328508	98823	138085
1.0	174920	243678	174892	243650
1.0	166168	231512	166125	231469
1.0	207326	287869	145863	203235
1.0	171912	239556	5213	7733
1.0	242876	337212	217426	302213
0.9076923076923077	161453	225026	112817	157453
1.0	120767	168523	120766	168522
1.0	119797	167057	119792	167047
1.0	64298	91088	60972	86802
1.0	206548	286613	206535	286600
1.0	90640	127300	90604	127261
1.0	227097	314714	47502	67911
1.0	216259	300793	116422	162475
1.0	69873	98532	55223	78644
1.0	167122	232890	91958	129056
1.0	222215	308535	158902	221567
1.0	221040	307110	84081	118961
1.0	49384	70367	49295	70275
1.0	186854	259553	186775	259474
1.0	179062	248858	178978	248774
1.0	177142	246533	55223	78644
1.0	178947	248661	29376	41721
